N,P,K,temperature,humidity,ph,rainfall,label
40,63,18,30,68,7,63,blackgram
20,60,25,27,69,7,61,blackgram
48,61,21,30,62,7,66,blackgram
49,68,22,29,62,7,64,blackgram
48,62,15,25,67,8,66,blackgram
32,66,17,35,65,7,70,blackgram
21,63,22,25,68,7,75,blackgram
20,72,19,32,64,7,66,blackgram
25,65,21,34,69,7,69,blackgram
41,78,21,25,60,7,71,blackgram
53,67,17,32,69,7,61,blackgram
39,60,21,35,64,7,65,blackgram
25,76,17,32,69,7,62,blackgram
21,78,19,27,67,7,70,blackgram
57,60,17,26,68,8,74,blackgram
56,75,15,30,60,7,66,blackgram
49,72,15,32,68,7,75,blackgram
24,80,19,30,69,7,66,blackgram
49,76,18,27,68,7,60,blackgram
28,68,19,35,61,8,72,blackgram
55,78,21,33,63,7,64,blackgram
50,64,25,29,63,7,70,blackgram
34,80,19,31,63,7,71,blackgram
20,68,23,26,64,8,63,blackgram
55,67,16,34,70,7,70,blackgram
23,70,15,35,63,7,60,blackgram
53,74,15,29,65,8,72,blackgram
26,67,16,29,68,7,68,blackgram
33,80,22,29,66,7,70,blackgram
37,79,19,28,69,7,69,blackgram
33,75,21,33,69,7,62,blackgram
22,55,20,34,70,7,61,blackgram
20,68,17,30,60,7,72,blackgram
43,68,20,30,66,8,69,blackgram
44,76,22,27,68,8,69,blackgram
34,60,16,31,64,7,64,blackgram
21,72,17,32,67,8,62,blackgram
25,68,19,29,64,7,67,blackgram
41,62,15,29,64,7,65,blackgram
28,65,23,28,62,7,74,blackgram
35,64,15,28,64,7,70,blackgram
52,58,16,31,61,7,71,blackgram
58,75,25,25,61,7,69,blackgram
34,66,19,33,60,8,73,blackgram
52,70,16,34,67,8,67,blackgram
23,57,19,33,68,7,73,blackgram
42,58,25,27,63,7,69,blackgram
37,62,17,26,70,7,75,blackgram
44,75,22,30,64,8,71,blackgram
21,80,20,28,68,7,64,blackgram
56,76,16,28,61,8,63,blackgram
29,76,15,29,64,7,70,blackgram
43,61,20,27,62,7,64,blackgram
55,60,15,33,69,7,64,blackgram
44,63,15,26,65,7,63,blackgram
29,67,21,30,63,7,63,blackgram
47,63,16,27,67,7,73,blackgram
40,68,17,34,65,8,70,blackgram
58,61,15,31,64,7,63,blackgram
41,74,18,29,61,7,73,blackgram
58,79,17,27,66,7,62,blackgram
27,62,24,29,67,7,62,blackgram
27,60,17,26,64,7,64,blackgram
52,65,20,33,66,7,69,blackgram
44,55,25,30,66,7,71,blackgram
21,62,24,33,63,7,65,blackgram
60,59,22,32,67,7,74,blackgram
33,77,21,30,66,7,72,blackgram
59,58,17,29,66,7,63,blackgram
29,63,17,30,68,7,66,blackgram
59,63,18,32,60,7,67,blackgram
29,70,15,30,64,7,74,blackgram
58,73,16,33,66,7,65,blackgram
55,77,22,31,63,8,65,blackgram
42,79,23,28,63,7,69,blackgram
44,77,21,33,61,7,62,blackgram
38,62,25,33,68,7,63,blackgram
32,76,15,28,64,8,43,lentil
13,61,22,19,63,8,47,lentil
38,60,20,30,61,7,47,lentil
11,74,17,21,70,7,47,lentil
37,71,16,26,69,7,46,lentil
29,71,18,22,62,6,53,lentil
2,72,18,27,61,8,51,lentil
6,59,21,27,66,6,51,lentil
13,64,20,19,63,7,36,lentil
8,58,17,29,69,7,35,lentil
6,77,20,26,60,6,49,lentil
2,75,22,24,62,7,53,lentil
3,69,23,29,63,7,43,lentil
27,80,24,28,62,8,49,lentil
39,78,15,21,63,6,42,lentil
40,79,17,21,63,6,39,lentil
37,62,22,24,62,7,50,lentil
31,60,24,25,66,8,52,lentil
22,67,22,29,64,7,55,lentil
3,78,18,20,69,7,51,lentil
4,80,16,29,68,7,45,lentil
13,61,24,18,70,8,49,lentil
12,66,20,27,63,7,44,lentil
4,61,21,25,60,7,49,lentil
9,60,21,30,67,8,40,lentil
18,66,22,26,68,6,48,lentil
32,56,18,20,66,7,46,lentil
6,72,15,23,67,8,54,lentil
15,77,20,25,67,7,49,lentil
0,65,24,29,62,8,53,lentil
30,79,22,18,69,6,49,lentil
3,63,16,24,61,7,53,lentil
2,78,23,21,66,7,45,lentil
10,78,18,19,63,6,44,lentil
14,67,25,25,61,7,49,lentil
39,65,23,25,69,8,41,lentil
19,72,15,29,70,7,44,lentil
18,57,21,27,64,6,49,lentil
31,58,15,28,60,6,45,lentil
28,58,25,27,62,7,38,lentil
5,65,19,18,68,7,49,lentil
16,65,19,28,69,7,43,lentil
34,65,19,23,63,6,45,lentil
14,69,19,21,64,7,52,lentil
22,55,16,24,68,7,50,lentil
24,61,17,23,65,6,38,lentil
2,79,15,22,65,8,36,lentil
26,63,17,30,66,7,45,lentil
27,61,15,25,67,7,48,lentil
24,70,16,25,69,7,35,lentil
13,74,25,24,61,6,44,lentil
6,64,23,23,67,7,36,lentil
12,58,23,22,63,7,50,lentil
32,79,22,28,63,6,54,lentil
6,68,18,24,63,7,47,lentil
10,79,20,25,67,6,38,lentil
38,77,22,28,69,6,35,lentil
17,74,17,26,70,7,37,lentil
26,68,24,28,64,8,37,lentil
23,75,17,25,64,7,48,lentil
32,78,22,24,62,7,53,lentil
19,79,19,20,68,7,43,lentil
22,60,18,20,61,7,42,lentil
28,69,16,30,66,7,36,lentil
1,67,21,28,61,7,48,lentil
12,67,23,26,63,7,46,lentil
36,67,20,20,60,7,53,lentil
28,70,21,25,61,7,39,lentil
12,71,19,25,61,7,42,lentil
22,68,16,28,63,8,37,lentil
26,66,22,18,65,6,52,lentil
16,65,16,18,62,6,51,lentil
14,59,22,24,68,7,47,lentil
33,59,19,23,63,8,50,lentil
21,63,17,25,68,7,41,lentil
0,69,21,26,62,7,37,lentil
10,75,17,18,68,8,39,lentil
30,61,18,27,67,6,53,lentil
0,74,17,23,65,7,47,lentil
35,74,22,27,63,7,43,lentil
7,63,24,20,64,7,53,lentil
9,56,17,26,67,6,46,lentil
14,74,15,28,66,6,50,lentil
14,76,20,29,62,7,37,lentil
36,65,16,26,64,8,50,lentil
28,67,21,22,64,6,47,lentil
28,79,16,25,60,6,53,lentil
40,61,22,21,66,7,44,lentil
10,70,19,25,69,7,42,lentil
12,80,19,22,65,6,36,lentil
37,77,20,26,69,7,51,lentil
0,67,22,30,69,7,52,lentil
7,73,25,28,63,7,45,lentil
10,56,18,28,69,7,46,lentil
39,70,15,21,64,6,48,lentil
26,56,22,23,60,7,53,lentil
9,77,17,22,64,6,38,lentil
4,59,19,26,68,8,41,lentil
34,73,15,21,64,8,53,lentil
33,77,15,24,66,8,41,lentil
2,24,38,25,92,6,112,pomegranate
6,18,37,20,90,6,108,pomegranate
8,26,36,19,87,7,103,pomegranate
37,18,39,24,95,6,110,pomegranate
0,27,38,22,90,7,109,pomegranate
31,25,38,25,92,7,109,pomegranate
21,21,38,23,89,6,105,pomegranate
6,30,40,23,91,6,107,pomegranate
25,27,41,19,94,7,108,pomegranate
15,11,38,23,93,7,109,pomegranate
14,5,36,25,85,6,105,pomegranate
16,10,41,25,86,7,106,pomegranate
36,7,37,20,86,6,108,pomegranate
4,20,41,24,94,7,105,pomegranate
29,22,40,24,90,6,108,pomegranate
16,15,42,20,89,7,109,pomegranate
18,27,41,22,92,7,105,pomegranate
11,18,42,22,95,6,103,pomegranate
5,15,38,18,88,6,108,pomegranate
18,23,44,24,90,6,106,pomegranate
9,8,40,22,90,7,112,pomegranate
40,27,45,22,95,6,112,pomegranate
22,23,44,20,89,6,107,pomegranate
9,16,39,18,91,6,105,pomegranate
12,29,40,20,90,7,111,pomegranate
0,17,42,23,91,7,109,pomegranate
2,21,44,19,87,7,103,pomegranate
28,6,40,22,91,7,107,pomegranate
8,23,44,18,90,7,108,pomegranate
29,16,36,20,89,6,103,pomegranate
17,18,43,24,91,6,103,pomegranate
34,21,42,19,90,7,111,pomegranate
21,23,42,20,90,7,104,pomegranate
25,17,40,19,88,7,111,pomegranate
8,25,36,20,95,7,104,pomegranate
26,18,42,20,90,7,108,pomegranate
4,19,42,24,88,6,111,pomegranate
36,24,41,25,94,7,104,pomegranate
5,24,40,25,94,6,105,pomegranate
19,17,39,25,86,7,111,pomegranate
39,30,38,20,88,7,108,pomegranate
5,29,44,21,93,6,105,pomegranate
4,24,43,22,88,7,110,pomegranate
38,21,35,20,89,6,111,pomegranate
37,11,36,24,86,7,107,pomegranate
9,25,41,25,92,6,109,pomegranate
29,22,43,20,88,6,106,pomegranate
5,21,38,22,90,6,112,pomegranate
22,26,38,23,85,7,110,pomegranate
4,18,37,23,85,7,106,pomegranate
21,6,41,25,89,7,107,pomegranate
29,21,45,23,93,7,105,pomegranate
23,5,44,21,94,7,108,pomegranate
13,7,43,18,91,7,110,pomegranate
5,13,37,22,90,6,103,pomegranate
27,24,41,24,91,7,110,pomegranate
7,23,35,20,89,7,103,pomegranate
12,20,39,20,86,6,111,pomegranate
4,19,43,18,93,6,106,pomegranate
3,9,45,24,90,7,105,pomegranate
1,27,36,24,93,6,105,pomegranate
23,30,44,21,85,6,103,pomegranate
24,21,42,21,87,7,109,pomegranate
13,30,37,21,92,6,107,pomegranate
40,11,44,24,86,6,111,pomegranate
21,9,40,25,91,6,106,pomegranate
3,27,44,25,92,7,111,pomegranate
40,29,42,25,89,7,111,pomegranate
14,25,40,20,91,6,104,pomegranate
38,14,37,22,95,7,103,pomegranate
34,9,36,23,86,6,110,pomegranate
32,14,37,23,88,7,105,pomegranate
18,21,35,23,95,6,111,pomegranate
8,23,38,19,87,7,105,pomegranate
15,6,41,19,89,7,109,pomegranate
0,5,36,24,91,6,106,pomegranate
22,9,44,25,89,6,112,pomegranate
14,8,43,22,94,7,112,pomegranate
31,11,45,25,87,6,108,pomegranate
39,17,45,18,90,7,105,pomegranate
10,5,42,20,91,7,109,pomegranate
8,28,38,23,94,7,106,pomegranate
32,13,42,24,93,6,107,pomegranate
18,9,40,19,89,6,106,pomegranate
20,27,41,21,93,6,111,pomegranate
39,25,36,19,95,6,108,pomegranate
20,7,45,19,89,6,112,pomegranate
11,10,45,23,88,6,109,pomegranate
40,18,43,19,87,6,110,pomegranate
3,26,39,24,91,7,104,pomegranate
9,16,36,24,93,6,107,pomegranate
30,20,38,23,93,7,110,pomegranate
40,9,41,24,85,6,106,pomegranate
40,30,35,21,91,6,104,pomegranate
32,25,35,18,86,6,107,pomegranate
33,23,45,20,86,7,112,pomegranate
4,14,41,20,90,6,103,pomegranate
13,17,45,21,93,7,106,pomegranate
39,24,39,24,93,6,110,pomegranate
8,28,37,24,86,6,108,pomegranate
91,94,46,29,76,6,93,banana
105,95,50,27,84,6,101,banana
108,92,53,27,83,6,105,banana
86,76,54,29,80,6,90,banana
80,77,49,26,79,6,113,banana
93,94,53,26,84,6,115,banana
90,92,55,27,80,6,97,banana
108,89,53,30,78,6,99,banana
108,88,55,26,83,6,114,banana
105,77,52,29,76,6,100,banana
118,88,52,29,83,6,99,banana
101,87,54,29,77,6,100,banana
95,75,50,28,75,6,118,banana
106,85,53,27,79,6,100,banana
86,95,49,28,78,6,108,banana
83,79,55,25,83,6,99,banana
85,95,47,26,78,6,120,banana
109,79,45,28,80,6,109,banana
100,76,45,26,76,6,103,banana
117,86,48,29,83,6,116,banana
114,94,53,26,77,6,119,banana
110,78,50,26,79,6,98,banana
94,70,48,25,85,6,91,banana
80,71,47,28,81,6,105,banana
114,79,51,26,82,6,112,banana
88,78,45,29,79,6,92,banana
112,73,48,29,77,6,91,banana
117,76,47,26,77,6,93,banana
111,87,48,26,81,6,98,banana
89,83,47,28,78,6,110,banana
93,91,47,28,83,6,117,banana
92,81,52,27,81,6,94,banana
105,74,45,25,81,6,119,banana
102,71,48,29,79,6,102,banana
94,91,51,29,77,6,110,banana
116,71,47,28,82,6,91,banana
117,79,49,25,82,6,113,banana
119,72,55,26,83,6,112,banana
99,73,53,26,81,6,119,banana
91,84,52,29,79,6,118,banana
80,90,47,27,79,6,107,banana
101,70,48,25,75,6,117,banana
108,89,53,29,80,6,112,banana
100,80,52,28,77,6,110,banana
109,91,53,30,84,6,110,banana
82,78,46,25,85,6,110,banana
106,70,55,26,79,6,116,banana
90,86,52,26,82,6,119,banana
83,95,50,27,78,6,109,banana
119,90,48,29,80,6,118,banana
107,72,45,28,82,6,91,banana
116,81,55,26,84,6,95,banana
101,75,50,27,81,6,110,banana
93,81,50,28,77,6,102,banana
95,75,45,29,83,6,109,banana
107,71,55,29,84,6,117,banana
83,94,47,27,81,6,112,banana
102,73,54,26,84,6,111,banana
86,79,45,28,83,6,99,banana
117,86,53,25,84,6,116,banana
111,79,53,28,76,6,120,banana
95,74,50,26,80,6,110,banana
91,75,55,27,76,6,109,banana
93,83,46,29,84,6,109,banana
92,85,51,29,81,6,109,banana
104,80,54,27,81,6,110,banana
103,72,51,26,82,6,104,banana
92,75,45,29,78,6,90,banana
93,85,49,28,79,6,119,banana
120,87,52,28,76,6,119,banana
108,72,46,25,85,6,91,banana
105,88,54,26,85,6,114,banana
98,79,50,25,84,6,91,banana
111,88,55,29,78,6,96,banana
97,74,45,26,79,6,113,banana
95,82,48,27,83,6,93,banana
89,91,55,25,80,6,94,banana
89,85,55,27,76,6,92,banana
118,88,51,25,79,6,101,banana
101,92,45,28,81,6,98,banana
99,92,47,28,77,6,104,banana
82,77,46,29,82,6,96,banana
90,86,55,28,84,6,98,banana
95,88,52,28,79,6,95,banana
104,73,46,29,80,6,90,banana
102,73,52,28,83,6,90,banana
100,74,52,25,82,6,96,banana
94,89,48,29,85,6,111,banana
99,70,46,27,83,6,101,banana
112,87,48,27,77,6,99,banana
117,82,45,25,79,6,105,banana
96,86,51,30,77,6,92,banana
113,85,45,28,77,6,109,banana
105,93,46,25,79,6,108,banana
85,89,51,29,85,6,109,banana
108,94,47,27,85,6,91,banana
92,81,52,28,77,6,104,banana
110,71,54,29,82,6,94,banana
82,75,55,27,78,6,92,banana
117,81,53,30,78,6,98,banana
2,40,27,30,48,6,90,mango
39,24,31,34,54,5,99,mango
21,26,27,27,48,6,96,mango
25,22,25,34,46,6,96,mango
0,21,32,36,54,6,92,mango
20,19,35,34,51,6,98,mango
19,21,34,30,53,5,98,mango
18,17,31,32,45,6,94,mango
11,36,33,36,52,6,95,mango
30,28,30,32,52,5,98,mango
18,19,27,28,52,5,94,mango
23,23,27,35,51,5,97,mango
37,30,34,28,54,7,99,mango
11,27,30,28,49,6,90,mango
12,19,31,27,53,6,92,mango
3,28,33,30,49,6,94,mango
37,38,32,32,46,5,92,mango
26,37,30,35,49,6,97,mango
14,18,30,30,52,5,96,mango
40,16,35,34,54,5,98,mango
4,20,25,29,48,6,100,mango
36,25,33,28,53,6,100,mango
30,17,31,31,55,7,95,mango
28,37,28,32,51,6,99,mango
38,15,30,29,48,5,97,mango
12,37,30,31,47,5,90,mango
38,19,31,35,49,6,91,mango
8,33,29,30,49,6,92,mango
15,27,28,34,46,5,91,mango
34,16,25,30,51,6,92,mango
11,36,31,28,52,6,100,mango
33,29,34,31,49,7,93,mango
12,31,26,36,52,5,100,mango
12,34,28,33,45,6,99,mango
5,16,31,36,49,5,98,mango
1,30,29,28,51,6,92,mango
16,35,31,32,50,5,96,mango
35,18,26,32,51,5,97,mango
4,40,26,28,49,7,96,mango
9,29,34,29,46,6,101,mango
2,38,33,32,53,5,90,mango
26,32,32,31,50,7,90,mango
34,38,31,35,46,6,97,mango
5,32,33,32,53,6,93,mango
31,29,26,28,47,5,98,mango
34,34,35,27,47,6,95,mango
36,19,32,27,51,5,92,mango
7,17,26,35,49,6,92,mango
38,15,27,34,49,7,92,mango
5,19,25,27,54,6,96,mango
37,36,26,33,53,5,94,mango
21,31,32,35,51,5,90,mango
37,36,27,28,48,6,90,mango
23,23,30,33,47,5,91,mango
36,26,26,30,51,7,95,mango
24,33,35,29,55,5,101,mango
26,18,30,32,51,6,97,mango
22,17,26,29,48,5,100,mango
11,34,32,29,49,7,98,mango
29,35,28,28,54,7,90,mango
22,28,26,28,45,5,93,mango
23,24,32,28,46,6,93,mango
1,35,34,31,47,6,92,mango
2,24,34,29,55,6,95,mango
39,37,25,33,46,7,98,mango
15,36,27,28,54,6,91,mango
3,18,31,32,48,6,91,mango
8,38,32,30,47,5,91,mango
33,31,34,31,50,5,90,mango
14,29,32,36,49,7,98,mango
18,20,26,32,52,5,90,mango
9,21,32,32,54,6,96,mango
20,30,27,28,52,5,96,mango
9,38,25,35,50,6,100,mango
26,24,34,31,52,7,90,mango
31,36,29,34,53,6,97,mango
14,18,35,31,47,5,91,mango
40,16,35,32,49,6,90,mango
28,27,34,32,51,7,95,mango
0,17,30,35,48,6,98,mango
1,29,29,27,49,6,94,mango
2,36,31,31,50,6,92,mango
12,27,26,29,46,5,96,mango
7,28,35,30,47,5,97,mango
0,36,26,34,51,5,96,mango
26,35,31,33,53,5,98,mango
27,21,30,35,52,5,91,mango
22,38,31,32,53,6,99,mango
22,18,31,31,48,6,90,mango
28,23,28,30,50,6,96,mango
7,31,27,31,48,7,95,mango
29,34,26,34,54,6,89,mango
8,37,33,28,55,6,97,mango
39,16,27,36,53,5,92,mango
40,24,25,29,50,5,96,mango
19,38,26,31,49,5,93,mango
21,21,30,28,51,5,101,mango
22,18,33,30,52,7,94,mango
31,20,30,32,54,6,92,mango
18,26,31,33,48,5,91,mango
24,130,195,30,82,6,67,grapes
13,144,204,31,82,6,68,grapes
22,123,205,32,84,6,69,grapes
36,125,196,37,81,6,67,grapes
24,131,196,22,84,6,65,grapes
2,123,198,40,82,6,70,grapes
35,140,197,17,83,6,67,grapes
11,122,195,12,84,6,70,grapes
6,123,203,13,82,6,67,grapes
17,134,204,39,80,7,74,grapes
25,130,197,40,83,6,75,grapes
27,145,205,9,82,6,66,grapes
9,122,201,30,81,6,68,grapes
16,139,203,18,81,6,66,grapes
32,141,204,9,83,6,67,grapes
22,138,195,28,84,6,73,grapes
31,144,202,11,81,6,68,grapes
3,136,205,18,81,6,71,grapes
28,122,197,20,83,6,70,grapes
4,136,204,30,82,6,66,grapes
39,145,201,37,81,6,72,grapes
38,132,197,20,82,6,67,grapes
36,133,198,26,84,6,69,grapes
25,121,201,31,83,6,70,grapes
15,125,199,18,81,6,70,grapes
24,140,205,12,84,6,69,grapes
13,132,203,24,82,6,73,grapes
5,126,197,13,81,6,67,grapes
30,120,200,38,82,6,66,grapes
23,142,197,39,82,6,69,grapes
26,135,203,34,81,6,75,grapes
7,126,203,17,82,6,73,grapes
32,139,198,36,83,6,67,grapes
9,141,202,21,81,6,66,grapes
20,142,196,11,80,6,69,grapes
32,129,201,16,83,6,72,grapes
3,134,199,20,81,6,71,grapes
38,138,204,25,83,6,73,grapes
14,131,198,33,84,6,68,grapes
20,122,204,12,81,6,65,grapes
40,126,201,11,80,6,71,grapes
36,128,204,25,81,6,67,grapes
11,132,197,16,81,6,74,grapes
0,137,195,22,80,6,65,grapes
19,123,200,35,81,6,66,grapes
31,136,197,31,83,6,71,grapes
4,134,200,29,81,6,73,grapes
39,139,201,41,81,6,69,grapes
8,127,196,27,83,6,71,grapes
39,138,203,21,82,6,75,grapes
32,120,204,10,83,6,67,grapes
12,142,203,31,83,6,65,grapes
8,133,195,20,81,6,71,grapes
8,139,199,29,82,6,66,grapes
21,134,202,11,80,6,65,grapes
40,140,195,15,81,6,72,grapes
39,127,202,15,82,6,72,grapes
19,120,195,19,81,6,74,grapes
21,139,201,19,83,6,67,grapes
17,136,195,41,82,6,66,grapes
33,139,203,33,83,6,71,grapes
22,133,201,24,80,6,67,grapes
32,130,196,41,81,6,74,grapes
37,135,205,12,80,6,74,grapes
15,140,195,13,84,6,66,grapes
39,132,196,36,83,6,74,grapes
40,121,199,26,81,6,66,grapes
40,132,202,25,81,6,70,grapes
29,142,203,30,84,6,66,grapes
32,121,199,39,81,6,74,grapes
6,140,205,18,83,6,70,grapes
8,120,196,24,83,6,70,grapes
34,133,202,15,80,6,75,grapes
35,135,199,22,81,6,69,grapes
16,145,199,27,81,6,69,grapes
8,136,201,42,82,6,74,grapes
25,129,195,18,81,6,72,grapes
16,130,201,29,83,6,69,grapes
39,129,203,34,83,6,71,grapes
38,135,203,41,83,6,70,grapes
33,120,205,35,82,6,70,grapes
35,125,204,20,80,6,74,grapes
1,132,200,16,83,6,67,grapes
39,140,203,21,81,6,69,grapes
28,145,202,19,83,6,67,grapes
6,128,200,26,83,6,70,grapes
6,139,199,26,82,6,74,grapes
29,122,196,42,81,6,73,grapes
37,144,197,11,81,6,66,grapes
38,120,197,18,83,6,74,grapes
38,141,198,13,80,6,71,grapes
14,121,203,10,84,6,74,grapes
6,125,204,28,83,6,70,grapes
32,138,197,10,81,6,69,grapes
11,124,204,13,80,6,71,grapes
23,138,200,10,80,6,68,grapes
40,143,201,25,83,6,67,grapes
6,142,202,27,83,6,70,grapes
37,124,195,19,83,6,67,grapes
35,134,204,10,83,6,66,grapes
119,25,51,26,81,6,54,watermelon
119,19,55,25,83,7,47,watermelon
105,30,50,25,82,6,57,watermelon
114,8,50,25,88,7,58,watermelon
93,22,52,27,81,7,42,watermelon
80,26,55,25,89,6,49,watermelon
85,27,45,26,89,6,58,watermelon
85,22,53,26,90,7,59,watermelon
82,22,45,26,85,7,55,watermelon
118,13,54,24,90,6,44,watermelon
83,25,53,26,80,6,58,watermelon
86,15,47,24,84,6,54,watermelon
101,10,47,26,83,7,58,watermelon
119,9,50,27,84,6,41,watermelon
104,17,46,26,80,6,43,watermelon
95,12,51,26,84,7,44,watermelon
102,14,52,27,90,7,58,watermelon
109,21,55,25,90,7,57,watermelon
81,18,50,27,88,6,59,watermelon
103,17,51,25,80,6,44,watermelon
105,14,50,26,88,6,60,watermelon
97,8,52,25,87,6,49,watermelon
120,19,49,26,84,7,56,watermelon
95,16,55,25,88,7,40,watermelon
83,29,52,26,88,7,46,watermelon
83,9,45,26,89,6,47,watermelon
91,21,50,24,81,7,48,watermelon
116,5,54,25,81,7,57,watermelon
112,28,54,25,85,7,55,watermelon
88,29,51,25,89,6,48,watermelon
118,15,45,24,84,7,48,watermelon
92,21,48,26,82,6,55,watermelon
106,14,45,24,84,6,57,watermelon
99,5,47,24,85,7,51,watermelon
98,8,51,26,87,6,49,watermelon
108,22,46,26,87,6,53,watermelon
119,7,55,26,85,6,44,watermelon
117,27,48,27,82,7,54,watermelon
109,10,53,27,88,7,46,watermelon
80,16,46,26,81,7,48,watermelon
100,18,52,26,80,7,56,watermelon
91,7,53,25,89,6,44,watermelon
86,6,53,26,83,7,42,watermelon
107,5,52,27,90,7,57,watermelon
103,16,49,24,82,7,52,watermelon
101,20,48,25,83,6,57,watermelon
85,25,47,26,88,6,58,watermelon
84,7,51,27,88,6,56,watermelon
102,28,54,25,80,7,56,watermelon
98,25,52,25,83,6,49,watermelon
97,25,50,26,81,6,49,watermelon
90,16,45,25,81,6,51,watermelon
95,12,46,26,81,6,55,watermelon
82,23,49,27,87,7,52,watermelon
82,25,51,24,87,6,48,watermelon
110,28,46,24,88,7,51,watermelon
118,21,51,24,86,7,49,watermelon
120,20,45,26,89,6,54,watermelon
91,7,52,25,83,6,56,watermelon
81,6,55,25,86,6,52,watermelon
101,13,54,25,83,7,56,watermelon
101,17,55,24,87,6,45,watermelon
111,6,53,26,89,6,46,watermelon
107,10,49,26,89,7,45,watermelon
115,11,46,24,89,7,40,watermelon
84,25,52,24,81,6,44,watermelon
120,7,47,24,83,7,55,watermelon
91,12,46,25,86,6,48,watermelon
89,22,52,25,86,6,53,watermelon
113,19,46,25,81,6,50,watermelon
97,22,50,26,86,7,59,watermelon
117,30,50,25,87,7,47,watermelon
90,14,52,25,89,6,60,watermelon
104,23,47,27,87,7,43,watermelon
81,16,45,27,86,7,60,watermelon
88,5,47,26,87,7,41,watermelon
92,7,45,27,81,7,52,watermelon
81,18,50,26,81,7,48,watermelon
111,5,55,26,84,7,51,watermelon
108,23,51,27,84,6,40,watermelon
113,30,50,26,84,6,44,watermelon
83,10,53,25,85,6,49,watermelon
101,11,51,26,84,7,44,watermelon
114,21,55,25,88,6,58,watermelon
99,6,45,26,87,6,41,watermelon
92,20,55,25,88,7,59,watermelon
92,7,48,26,87,7,54,watermelon
91,24,55,26,83,6,47,watermelon
110,21,54,27,88,7,47,watermelon
112,25,51,25,86,7,57,watermelon
89,25,54,25,86,6,49,watermelon
100,10,53,25,85,6,42,watermelon
83,22,54,26,82,6,55,watermelon
95,14,50,27,84,7,56,watermelon
119,30,49,25,80,7,48,watermelon
97,12,47,25,90,7,58,watermelon
110,7,45,27,85,6,48,watermelon
96,18,50,25,84,7,42,watermelon
83,23,55,27,84,6,44,watermelon
120,24,47,27,89,6,59,watermelon
115,17,55,28,94,7,28,muskmelon
114,27,48,28,93,7,26,muskmelon
101,25,52,29,94,7,23,muskmelon
118,18,52,28,91,7,21,muskmelon
95,26,45,30,95,6,28,muskmelon
81,25,49,30,93,6,26,muskmelon
117,24,53,29,92,6,21,muskmelon
114,30,51,29,90,6,26,muskmelon
113,6,52,28,90,7,25,muskmelon
108,26,52,29,94,6,26,muskmelon
81,30,48,29,92,6,30,muskmelon
115,9,52,29,91,6,29,muskmelon
83,7,45,29,91,7,25,muskmelon
84,21,55,28,95,6,21,muskmelon
109,26,45,28,90,6,22,muskmelon
95,27,55,28,91,6,21,muskmelon
119,5,55,30,94,6,27,muskmelon
110,14,51,27,92,6,21,muskmelon
82,18,48,29,94,6,27,muskmelon
87,14,48,30,93,7,29,muskmelon
85,9,53,28,93,6,29,muskmelon
100,6,53,29,94,6,24,muskmelon
107,12,46,30,94,7,28,muskmelon
91,13,47,29,92,6,28,muskmelon
102,25,50,28,93,6,20,muskmelon
117,25,53,29,92,6,25,muskmelon
85,21,52,30,90,6,24,muskmelon
104,25,55,30,90,6,23,muskmelon
102,24,54,28,91,7,23,muskmelon
116,25,50,29,93,6,29,muskmelon
100,17,48,30,94,6,27,muskmelon
110,25,54,29,91,6,23,muskmelon
104,25,51,29,94,6,24,muskmelon
107,11,54,29,91,6,29,muskmelon
98,26,52,27,91,6,29,muskmelon
88,17,52,30,91,7,25,muskmelon
87,25,46,27,90,6,22,muskmelon
120,8,46,30,91,7,28,muskmelon
95,13,46,30,94,6,23,muskmelon
108,22,47,29,92,6,25,muskmelon
82,13,52,27,95,6,27,muskmelon
120,23,55,28,92,7,26,muskmelon
110,22,47,29,92,6,25,muskmelon
95,23,45,28,91,6,21,muskmelon
106,10,49,28,92,6,20,muskmelon
99,12,52,29,94,6,22,muskmelon
106,20,51,30,91,6,20,muskmelon
83,11,53,30,93,6,22,muskmelon
117,19,55,29,92,6,25,muskmelon
98,26,49,27,91,6,24,muskmelon
113,20,48,27,95,6,27,muskmelon
101,17,47,29,95,6,26,muskmelon
98,7,45,28,93,6,27,muskmelon
93,22,48,29,92,7,22,muskmelon
95,21,47,28,94,6,21,muskmelon
109,12,48,29,92,7,21,muskmelon
118,12,47,28,92,6,29,muskmelon
100,14,49,29,91,6,26,muskmelon
89,9,47,29,91,7,29,muskmelon
95,16,46,27,90,7,24,muskmelon
95,7,45,27,91,6,25,muskmelon
87,6,45,30,91,6,23,muskmelon
93,20,50,30,93,6,24,muskmelon
84,29,49,30,94,6,20,muskmelon
111,5,47,28,91,6,21,muskmelon
111,5,52,30,94,6,21,muskmelon
111,15,54,28,93,6,22,muskmelon
89,11,47,30,95,6,28,muskmelon
110,15,48,29,93,6,28,muskmelon
95,30,52,29,90,7,26,muskmelon
115,12,52,28,95,7,21,muskmelon
120,25,50,28,95,6,22,muskmelon
102,11,45,29,93,6,24,muskmelon
94,5,55,29,92,6,27,muskmelon
84,18,46,27,93,7,25,muskmelon
107,22,54,28,91,7,22,muskmelon
80,18,52,28,91,6,24,muskmelon
86,18,45,29,91,7,22,muskmelon
113,28,48,29,92,6,24,muskmelon
115,18,53,29,94,6,22,muskmelon
